DANH SÁCH TỪ VIẾT TẮT / TEENCODE / RÁC
==================================================
Từ vựng              | Số lần xuất hiện    
coloncolon           | 1                   
wzjwz276             | 1                   
3dsmax               | 1                   
wzjwz291             | 1                   
an                   | 1                   
wzjwz315             | 1                   
wzjwz316             | 1                   
wzjwz92              | 1                   
vmware               | 1                   
wzjwz226             | 1                   
oracle               | 1                   
wzjwz25              | 1                   
wzjwz245             | 1                   
pl                   | 1                   
wzjwz327             | 1                   
wzjwz310             | 1                   
wzjwz289             | 1                   
wzjwz251             | 1                   
wzjwz97              | 1                   
projectbase          | 1                   
nguy                 | 1                   
engine               | 1                   
wzjwz180             | 1                   
wzjwz181             | 1                   
wzjwz222             | 1                   
max                  | 1                   
wzjwz35              | 1                   
upload               | 1                   
wzjwz312             | 1                   
11doubledot55        | 1                   
pm                   | 1                   
12doubledot00        | 1                   
miss                 | 1                   
wzjwz202             | 1                   
wzjwz203             | 1                   
wzjwz12              | 1                   
abc                  | 1                   
srum                 | 1                   
crt                  | 1                   
traning              | 1                   
table                | 1                   
chair                | 1                   
not                  | 1                   
fitted               | 1                   
class                | 1                   
javabeans            | 1                   
jsp                  | 1                   
9dot5                | 1                   
case                 | 1                   
study                | 1                   
av1                  | 1                   
av2                  | 1                   
av3                  | 1                   
wzjwz75              | 1                   
wzjwz205             | 1                   
wzjwz158             | 1                   
wzjwz82              | 1                   
wzjwz195             | 1                   
oi                   | 1                   
wzjwz70              | 1                   
wzjwz71              | 1                   
wzjwz72              | 1                   
message              | 1                   
dropbox              | 1                   
side                 | 1                   
ngu                  | 1                   
wzjwz274             | 1                   
ngang                | 1                   
wzjwz101             | 1                   
wzjwz1               | 1                   
wzjwz182             | 1                   
wzjwz137             | 1                   
wzjwz269             | 1                   
wzjwz27              | 1                   
wzjwz121             | 1                   
wzjwz122             | 1                   
extensive            | 1                   
wzjwz277             | 1                   
cau                  | 1                   
wzjwz321             | 1                   
cu                   | 1                   
ide                  | 1                   
wzjwz307             | 1                   
rung                 | 1                   
career               | 1                   
bus                  | 1                   
poster               | 1                   
user                 | 1                   
wzjwz30              | 1                   
output               | 1                   
wzjwz198             | 1                   
wzjwz211             | 1                   
it003dote21          | 1                   
xi                   | 1                   
wzjwz286             | 1                   
wzjwz22              | 1                   
wzjwz246             | 1                   
wzjwz302             | 1                   
wzjwz213             | 1                   
wzjwz297             | 1                   
naive                | 1                   
bayes                | 1                   
leo                  | 1                   
xinh                 | 1                   
wzjwz194             | 1                   
best                 | 1                   
wzjwz233             | 1                   
toi                  | 1                   
wzjwz14              | 1                   
wzjwz134             | 1                   
xim                  | 1                   
wzjwz168             | 1                   
wzjwz87              | 1                   
wzjwz88              | 1                   
wzjwz89              | 1                   
wzjwz255             | 1                   
wzjwz214             | 1                   
wzjwz204             | 1                   
wzjwz111             | 1                   
wzjwz54              | 1                   
english              | 1                   
xxx                  | 1                   
wzjwz229             | 1                   
wzjwz230             | 1                   
wzjwz282             | 1                   
wzjwz283             | 1                   
wzjwz284             | 1                   
wzjwz285             | 1                   
wzjwz171             | 1                   
wzjwz156             | 1                   
wzjwz227             | 1                   
progressive          | 1                   
app                  | 1                   
amp                  | 1                   
seo                  | 1                   
wzjwz23              | 1                   
wzjwz238             | 1                   
wzjwz120             | 1                   
hub                  | 1                   
bridge               | 1                   
wzjwz93              | 1                   
wzjwz304             | 1                   
wzjwz299             | 1                   
semimar              | 1                   
bi                   | 1                   
jack                 | 1                   
a2                   | 1                   
slides               | 1                   
wzjwz28              | 1                   
ko                   | 1                   
vertical             | 1                   
fragmentation        | 1                   
ghen                 | 1                   
wzjwz15              | 1                   
wzjwz293             | 1                   
kaydotvn             | 1                   
vang                 | 1                   
wtf                  | 1                   
wzjwz140             | 1                   
wzjwz191             | 1                   
ht2                  | 1                   
wzjwz116             | 1                   
wrede                | 1                   
dan                  | 1                   
murray               | 1                   
wzjwz106             | 1                   
t_t                  | 1                   
wzjwz46              | 1                   
over                 | 1                   
time                 | 1                   
wzjwz201             | 1                   
ucla                 | 1                   
sub                  | 1                   
control              | 1                   
network              | 1                   
programing           | 1                   
presentation         | 1                   
wzjwz16              | 1                   
wzjwz17              | 1                   
wzjwz8               | 1                   
wzjwz138             | 1                   
wzjwz250             | 1                   
colonhihi            | 1                   
down                 | 1                   
style                | 1                   
wzjwz132             | 1                   
wzjwz173             | 1                   
wzjwz59              | 1                   
wzjwz197             | 1                   
basic                | 1                   
elab                 | 1                   
wzjwz4               | 1                   
wzjwz5               | 1                   
wzjwz317             | 1                   
xao                  | 1                   
wzjwz36              | 1                   
wzjwz37              | 1                   
wzjwz68              | 1                   
wzjwz69              | 1                   
wzjwz117             | 1                   
gt                   | 1                   
wzjwz154             | 1                   
elg                  | 1                   
wzjwz221             | 1                   
wzjwz218             | 1                   
ipv6                 | 1                   
book                 | 1                   
check                | 1                   
wzjwz67              | 1                   
wzjwz319             | 1                   
2k3                  | 1                   
wzjwz108             | 1                   
wzjwz78              | 1                   
wzjwz61              | 1                   
download             | 1                   
wzjwz176             | 1                   
comment              | 1                   
wzjwz225             | 1                   
wzjwz249             | 1                   
wzjwz164             | 1                   
wzjwz105             | 1                   
wzjwz294             | 1                   
mfc                  | 1                   
wzjwz241             | 1                   
dev                  | 1                   
fix                  | 1                   
link                 | 1                   
320k                 | 1                   
wzjwz102             | 1                   
requirement          | 1                   
wzjwz47              | 1                   
dbpedia              | 1                   
ontology             | 1                   
wzjwz265             | 1                   
proxy                | 1                   
dvd                  | 1                   
wzjwz264             | 1                   
km                   | 1                   
wzjwz24              | 1                   
store                | 1                   
wzjwz79              | 1                   
vhdl                 | 1                   
hdl                  | 1                   
wzjwz112             | 1                   
oan                  | 1                   
wzjwz29              | 1                   
agent                | 1                   
wzjwz193             | 1                   
wzjwz295             | 1                   
wzjwz220             | 1                   
wzjwz26              | 1                   
pc                   | 1                   
wzjwz232             | 1                   
json                 | 1                   
wzjwz219             | 1                   
gao                  | 1                   
wzjwz273             | 1                   
ic                   | 1                   
room                 | 1                   
wzjwz326             | 1                   
wzjwz279             | 1                   
wzjwz128             | 1                   
quanh                | 1                   
wzjwz166             | 1                   
wzjwz272             | 1                   
daadotuitdotedudotvn | 1                   
ht1                  | 1                   
wzjwz162             | 1                   
wzjwz131             | 1                   
wzjwz60              | 1                   
wzjwz224             | 1                   
wzjwz231             | 1                   
wzjwz242             | 1                   
wzjwz43              | 1                   
wwzjwz305            | 1                   
wzjwz94              | 1                   
it006dote12          | 1                   
add                  | 1                   
site                 | 1                   
size                 | 1                   
wzjwz55              | 1                   
design               | 1                   
fork                 | 1                   
robin                | 1                   
placement            | 1                   
wzjwz114             | 1                   
wzjwz66              | 1                   
wzjwz149             | 1                   
outcome              | 1                   
group                | 1                   
ebook                | 1                   
given                | 1                   
at                   | 1                   
home                 | 1                   
are                  | 1                   
han                  | 1                   
wzjwz152             | 1                   
du                   | 1                   
wzjwz247             | 1                   
wzjwz313             | 1                   
wzjwz45              | 1                   
bia                  | 1                   
wzjwz115             | 1                   
von                  | 1                   
wzjwz318             | 1                   
wzjwz63              | 1                   
wzjwz124             | 1                   
lisp                 | 1                   
socket               | 1                   
agile                | 1                   
vote                 | 1                   
driver               | 1                   
wzjwz2               | 1                   
dfd                  | 1                   
er                   | 1                   
ma                   | 1                   
wzjwz175             | 1                   
wzjwz244             | 1                   
version              | 1                   
nfc                  | 1                   
pdf                  | 1                   
wzjwz51              | 1                   
wzjwz52              | 1                   
nang                 | 1                   
wzjwz135             | 1                   
wzjwz190             | 1                   
unikey               | 1                   
by                   | 1                   
uy                   | 1                   
colonsurprise        | 1                   
feed                 | 1                   
