sentence,sentiment,topic,sentence_final,sentence_segmented,len_original,len_final,len_segmented
giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,0,0,giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,giảng_viên phải nên cho ví_dụ cụ_thể những phần quan_trọng nên nói kỹ có_thể lấy ví_dụ minh_họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm_giác chán cho sinh_viên .,40,40,31
nên biên soạn một tài liệu của chính trường ta .,0,1,nên biên soạn một tài liệu của chính trường ta .,nên biên_soạn một tài_liệu của chính trường ta .,11,11,9
không giúp đỡ sinh viên trong những vấn đề xung quanh .,0,0,không giúp đỡ sinh viên trong những vấn đề xung quanh .,không giúp_đỡ sinh_viên trong những vấn_đề xung_quanh .,12,12,8
"bài tập đa dạng , cụ thể .",2,1,bài tập đa dạng cụ thể .,bài_tập đa_dạng cụ_thể .,8,7,4
"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",0,1,nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế đề nghị có sự thay đổi trong những năm học tới .,nội_dung giảng_viên yêu câu seminar hầu_như không có tài_liệu tham_khảo và rất ít ứng_dụng trong thực_tế đề_nghị có sự thay_đổi trong những năm_học tới .,36,35,25
slide up đầy đủ trước mỗi buổi học .,2,1,slide up đầy đủ trước mỗi buổi học .,slide up đầy_đủ trước mỗi buổi học .,9,9,8
"nội dung giảng dạy quá nhàm chán , khô khan .",0,1,nội dung giảng dạy quá nhàm chán khô khan .,nội_dung giảng_dạy quá nhàm chán khô_khan .,11,10,7
lượng kiến thức quá nhiều trong một học kỳ .,0,1,lượng kiến thức quá nhiều trong một học kỳ .,lượng kiến_thức quá nhiều trong một học_kỳ .,10,10,8
thầy chép bảng nhiều .,0,0,thầy chép bảng nhiều .,thầy chép bảng nhiều .,5,5,5
"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .",2,0,thầy tận tình hướng dẫn cách làm giải quyết những thắc mắc của sinh viên .,thầy tận_tình hướng_dẫn cách làm giải_quyết những thắc_mắc của sinh_viên .,17,16,11
"chúc các thầy cô , anh chị làm việc vui vẻ !",2,3,chúc các thầy cô anh chị làm việc vui vẻ,chúc các thầy_cô anh_chị làm_việc vui_vẻ,12,10,6
"hay , nhiệt tình , dễ hiểu .",2,0,hay nhiệt tình dễ hiểu .,hay nhiệt_tình dễ hiểu .,8,6,5
"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .",0,0,mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu sử dụng ngôn từ gây khó khăn cho việc hiểu bài .,mặc_dù nhiệt_tình nhưng khi truyền_đạt thì lại khó hiểu sử_dụng_ngôn từ gây khó_khăn cho việc hiểu bài .,25,24,18
"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",2,0,thầy dạy khá hay cung cấp nhiều thông tin liên quan đến môn học đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án,thầy dạy khá hay cung_cấp nhiều thông_tin liên_quan đến môn_học đưa ra nhiều hướng giải_quyết khi sinh_viên gặp vấn_đề khó_khăn với đồ_án,34,31,22
hy vọng học kỳ sau có thể học được với cô .,2,0,hy vọng học kỳ sau có thể học được với cô .,hy_vọng học_kỳ sau có_thể học được với cô .,12,12,9
nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,0,1,nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,nhiều khi em lên lớp_học môn đặc_tả hình_thức giống như lên lớp_học mà không biết mình học cái gì .,24,24,20
trong khi giảng nói nhỏ quá .,0,0,trong khi giảng nói nhỏ quá .,trong khi giảng nói_nhỏ quá .,7,7,6
thực hành khó hiểu .,0,1,thực hành khó hiểu .,thực_hành khó hiểu .,5,5,4
"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",2,0,thầy rất tận tâm nhiệt tình quan tâm đến sinh viên giảng bài dễ hiểu kiến thức sâu rộng am hiểu cao .,thầy rất tận_tâm nhiệt_tình quan_tâm đến sinh_viên giảng_bài dễ hiểu kiến_thức sâu_rộng am_hiểu cao .,26,23,15
"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",2,0,cô dạy với nhiệt huyết của mình dù như thế nào cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .,cô dạy với nhiệt_huyết của mình dù như_thế_nào cô vẫn luôn mỉm cười và kiên_trì giảng bài cho chúng_em đến khi chúng_em hiểu .,32,30,24
"cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên .",2,0,cô lên lớp đúng giờ giảng bài rất dễ hiểu cho sinh viên .,cô lên_lớp đúng giờ giảng_bài rất dễ hiểu cho sinh_viên .,15,14,11
"những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai .",0,0,những thông tin cần thiết như thời gian deadline cách nộp bài thường không dặn lớp thực hành thứ hai .,những thông_tin cần_thiết như thời_gian deadline cách nộp bài thường không dặn lớp thực_hành thứ hai .,23,21,17
"thầy nhiệt tình , dễ chịu .",2,0,thầy nhiệt tình dễ chịu .,thầy nhiệt_tình dễ_chịu .,7,6,4
"giảng viên chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em .",0,0,giảng viên chưa đi sâu vào bản chất của vấn đề em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em .,giảng_viên chưa đi_sâu vào bản_chất của vấn_đề em chỉ học thôi mà không biết bản_chất của nó là gì nó có ứng_dụng gì sau_này cho chuyên_ngành của em .,38,37,29
đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,2,0,đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,đặc_biệt hơn là thầy đã bỏ rất nhiều công_sức trong việc ra bài_tập và chấm_điểm một_cách rõ_ràng và minh_bạch .,27,27,20
cô rất nhiệt tình và tận dụng tốt thời gian .,2,1,cô rất nhiệt tình và tận dụng tốt thời gian .,cô rất nhiệt_tình và tận_dụng tốt thời_gian .,11,11,8
"giảng viên tận tâm , nhiệt huyết trong giảng dạy .",2,0,giảng viên tận tâm nhiệt huyết trong giảng dạy .,giảng_viên tận_tâm nhiệt_huyết trong giảng_dạy .,11,10,6
"thầy nhiệt tình , gần gũi .",2,0,thầy nhiệt tình gần gũi .,thầy nhiệt_tình gần_gũi .,7,6,4
"giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu .",2,0,giảng viên tận tâm giảng dễ hiểu dễ tiếp thu .,giảng_viên tận tâm_giảng dễ hiểu dễ tiếp_thu .,13,11,8
tạo ra sự cạnh tranh trong mỗi buổi thực hành .,1,0,tạo ra sự cạnh tranh trong mỗi buổi thực hành .,tạo ra sự cạnh_tranh trong mỗi buổi thực_hành .,11,11,9
bài tập và có code tham khảo .,2,1,bài tập và có code tham khảo .,bài_tập và có code tham_khảo .,8,8,6
"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .",0,2,cần nâng cấp hệ thống wifi vì khi vào phòng thực hành sinh viên không thể truy cập internet buộc phải xin phép ra ngoài để làm bài .,cần nâng_cấp hệ_thống wifi vì khi vào phòng thực_hành sinh_viên không_thể truy_cập internet buộc phải xin phép ra ngoài để làm bài .,32,29,23
tài liệu không chi tiết lắm .,0,1,tài liệu không chi tiết lắm .,tài_liệu không chi_tiết lắm .,7,7,5
"tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên .",2,0,tận tâm nhiệt tình vui tính dễ gần với sinh viên .,tận tâm_nhiệt_tình vui_tính dễ gần với sinh_viên .,15,12,8
thầy dạy rất hay và nhiệt tình .,2,0,thầy dạy rất hay và nhiệt tình .,thầy dạy rất hay và nhiệt_tình .,8,8,7
"thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành .",0,0,thầy dạy không đúng giờ không hướng dẫn sinh viên thực hành .,thầy dạy không đúng giờ không hướng_dẫn sinh_viên thực_hành .,14,13,10
giúp đỡ học sinh quá ít .,0,0,giúp đỡ học sinh quá ít .,giúp_đỡ học_sinh quá ít .,7,7,5
cô dạy buồn ngủ quá .,0,0,cô dạy buồn ngủ quá .,cô dạy buồn ngủ quá .,6,6,6
nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,0,1,nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,nên kinh_mong nội_dung môn_học được giảm tải cho phù_hợp hơn với đặc_thù của một trường công_nghệ_thông_tin .,25,25,17
thầy tận tình vui tính .,2,0,thầy tận tình vui tính .,thầy tận_tình vui_tính .,6,6,4
cô lại kiểu khó tính nữa .,0,0,cô lại kiểu khó tính nữa .,cô lại kiểu khó_tính nữa .,7,7,6
tạo hứng thú cho sinh viên .,2,0,tạo hứng thú cho sinh viên .,tạo hứng_thú cho sinh_viên .,7,7,5
cô giảng hay cuốn hút và truyền đạt dễ hiểu .,2,0,cô giảng hay cuốn hút và truyền đạt dễ hiểu .,cô giảng hay cuốn_hút và truyền_đạt dễ hiểu .,11,11,9
có hứng thú học .,2,0,có hứng thú học .,có hứng thú_học .,5,5,4
ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,1,1,ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,ôn_tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,14,14,13
"giảng viên hướng dẫn cụ thể , chi tiết .",2,0,giảng viên hướng dẫn cụ thể chi tiết .,giảng_viên hướng_dẫn cụ_thể chi_tiết .,10,9,5
giáo trình quá ít và nội dung không khác nhau là mấy .,0,1,giáo trình quá ít và nội dung không khác nhau là mấy .,giáo_trình quá ít và nội_dung không khác nhau là mấy .,13,13,11
"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .",0,0,giáo viên nghỉ dạy liên tục cuối học kỳ lại tăng học bù những tiết học bù đó đã ảnh hưởng đến những đồ án và trễ deadline .,giáo_viên nghỉ dạy liên_tục cuối học_kỳ lại tăng học bù những tiết_học bù đó đã ảnh_hưởng đến những đồ_án và trễ deadline .,32,29,23
"giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về .",0,0,giáo viên lúc dạy lúc không không dạy cũng không thông báo sinh viên tốn thời gian công sức tiền bạc rồi ngồi đợi và đi về .,giáo_viên lúc dạy lúc không không dạy cũng không thông_báo sinh_viên tốn thời_gian công_sức tiền_bạc rồi ngồi đợi và đi về .,32,28,22
"cần có một phòng máy tốt hơn , hiện đại hơn .",0,2,cần có một phòng máy tốt hơn hiện đại hơn .,cần có một phòng máy tốt hơn hiện_đại hơn .,12,11,10
thầy nên cho làm bài tập tương tự nhau nhiều hơn một vài bài để tránh tình trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .,0,0,thầy nên cho làm bài tập tương tự nhau nhiều hơn một vài bài để tránh tình trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .,thầy nên cho làm bài_tập tương_tự nhau nhiều hơn một_vài bài để tránh tình_trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .,30,30,26
"không ngờ môn này lại chán đến như vậy , không học được gì từ môn này , thầy dạy chán kinh khủng , hay đi trễ từ 30 - 45 phút , không nhiệt tình .",0,0,không ngờ môn này lại chán đến như vậy không học được gì từ môn này thầy dạy chán kinh khủng hay đi trễ từ 30 45 phút không nhiệt tình .,không ngờ_môn này lại chán đến như_vậy không học được gì từ môn này thầy dạy chán kinh_khủng hay đi trễ từ 30 45 phút không nhiệt_tình .,37,32,28
giảng viên đánh giá sai điểm và năng lực của học sinh .,0,0,giảng viên đánh giá sai điểm và năng lực của học sinh .,giảng_viên đánh_giá sai_điểm và năng_lực của học_sinh .,13,13,8
không đáp ứng được đề cương môn học đề ra .,0,1,không đáp ứng được đề cương môn học đề ra .,không đáp_ứng được đề_cương môn_học đề ra .,11,11,8
thầy nên hướng dẫn thực hành nhiều hơn .,0,0,thầy nên hướng dẫn thực hành nhiều hơn .,thầy nên hướng_dẫn thực_hành nhiều hơn .,9,9,7
"giảng viên thân thiện , quan tâm tới sinh viên .",2,0,giảng viên thân thiện quan tâm tới sinh viên .,giảng_viên thân_thiện quan_tâm tới sinh_viên .,11,10,6
"môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới , dễ hiểu và giảng giải cụ thể hơn .",0,1,môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới dễ hiểu và giảng giải cụ thể hơn .,môn lập_trình hướng đối_tượng nên cập_nhật thêm những nội_dung mới dễ hiểu và giảng_giải cụ_thể hơn .,24,23,17
"giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt .",2,0,giáo viên nhiệt tình tâm huyết khả năng truyền đạt tốt .,giáo_viên nhiệt_tình tâm_huyết khả_năng truyền_đạt tốt .,14,12,7
thầy dạy rất tốt và nhiệt tình .,2,0,thầy dạy rất tốt và nhiệt tình .,thầy dạy rất tốt và nhiệt_tình .,8,8,7
"cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe .",0,0,cô nói hơi nhỏ nếu lớp ồn sẽ khó nghe .,cô nói hơi nhỏ nếu lớp ồn sẽ khó nghe .,12,11,11
"bài tập cô đưa ra nhiều , và khó tìm hiểu , với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra .",0,0,bài tập cô đưa ra nhiều và khó tìm hiểu với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra .,bài_tập cô đưa ra nhiều và khó tìm_hiểu với kiến thực_hiện tại của sinh_viên thì khó có_thể tìm_hiểu và làm tốt bài_tập cô ra .,34,32,25
bài tập và hoạt động nhóm còn ít .,0,1,bài tập và hoạt động nhóm còn ít .,bài_tập và hoạt_động nhóm còn ít .,9,9,7
"giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp .",2,0,giảng viên rất nhiệt tình phương pháp giảng dạy hay sinh viên nắm bắt kiến thức ngay trên lớp .,giảng_viên rất nhiệt_tình phương_pháp giảng_dạy hay sinh_viên nắm_bắt kiến_thức ngay trên lớp .,22,20,13
cô hướng dẫn thực hành khá đầy đủ .,2,0,cô hướng dẫn thực hành khá đầy đủ .,cô hướng_dẫn thực_hành khá đầy_đủ .,9,9,6
được học nhiều kinh nghiệm từ thầy wzjwz163 .,2,0,được học nhiều kinh nghiệm từ thầy .,được học nhiều kinh_nghiệm từ thầy .,9,8,7
"kiến thức của thầy rất tốt , bảo đảm giờ lên lớp .",2,0,kiến thức của thầy rất tốt bảo đảm giờ lên lớp .,kiến_thức của thầy rất tốt bảo_đảm giờ lên_lớp .,13,12,9
hiện tại em chưa thấy tác dụng gì nhiều khi học môn này .,0,1,hiện tại em chưa thấy tác dụng gì nhiều khi học môn này .,hiện_tại em chưa thấy tác_dụng gì nhiều khi học môn này .,14,14,12
cải thiện lại cơ sở vật chất máy chiếu trong phòng học .,0,2,cải thiện lại cơ sở vật chất máy chiếu trong phòng học .,cải_thiện lại cơ_sở_vật_chất máy_chiếu trong phòng học .,13,13,8
dạy không phù hợp với cách học của em .,0,0,dạy không phù hợp với cách học của em .,dạy không phù_hợp với cách học của em .,10,10,9
giải thích nội dung mới rõ ràng .,2,0,giải thích nội dung mới rõ ràng .,giải_thích nội_dung mới rõ_ràng .,8,8,5
lớp học quá đông !,0,1,lớp học quá đông,lớp_học quá đông,5,4,3
"môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản .",0,1,môn căn bản mà thầy không dạy cho sinh viên kỹ gây không hiểu mất căn bản .,môn căn_bản mà thầy không dạy cho sinh_viên kỹ gây không hiểu mất căn_bản .,20,18,15
"giảng viên chưa cho bài tập về nhà để sinh viên làm nên cho 5 bài mỗi chương , không cần chữa chỉ cần đáp án .",0,0,giảng viên chưa cho bài tập về nhà để sinh viên làm nên cho 5 bài mỗi chương không cần chữa chỉ cần đáp án .,giảng_viên chưa cho bài_tập về nhà để sinh_viên làm_nên cho 5 bài mỗi chương không cần chữa chỉ cần đáp_án .,27,26,21
"mà hiện tại trường ta chưa có , đây là thiệt thòi lớn đối với tụi em .",0,1,mà hiện tại trường ta chưa có đây là thiệt thòi lớn đối với tụi em .,mà hiện_tại trường ta chưa có đây là thiệt_thòi lớn đối_với tụi em .,18,17,14
tôi cảm thấy giảng viên dạy rất tốt .,2,0,tôi cảm thấy giảng viên dạy rất tốt .,tôi cảm_thấy giảng_viên dạy rất tốt .,9,9,7
"không biết thầy nào dạy chính thức , mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần .",0,0,không biết thầy nào dạy chính thức mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần .,không biết thầy nào dạy chính_thức mà học thường nghỉ không thông_báo trước để sinh_viên đứng chờ sắp hết_tiết rồi tự về nhiều lần .,30,29,25
cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .,0,3,cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .,cần có sự tương_tác giữa giảng_viên và sinh_viên nhiều hơn .,14,14,11
giảng viên thân thiện nhiệt tình cởi mở .,2,0,giảng viên thân thiện nhiệt tình cởi mở .,giảng_viên thân_thiện nhiệt_tình cởi_mở .,9,9,5
"giáo viên có mời các công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn .",2,0,giáo viên có mời các công ty về trình bày giúp sinh viên cập nhật kiến thức thực tiễn .,giáo_viên có mời các công_ty về trình_bày giúp sinh_viên cập_nhật kiến_thức thực_tiễn .,21,20,13
coi lại thái độ giảng viên thực hành .,0,0,coi lại thái độ giảng viên thực hành .,coi lại thái_độ giảng_viên thực_hành .,9,9,6
"giảng viên nhiệt tình , giải nhiều bài tập .",2,0,giảng viên nhiệt tình giải nhiều bài tập .,giảng_viên nhiệt_tình giải nhiều bài_tập .,10,9,6
bài giảng của thầy rất nhiệt tình .,2,0,bài giảng của thầy rất nhiệt tình .,bài giảng của thầy rất nhiệt_tình .,8,8,7
"môn học chưa thực tiễn , chưa thu hút sinh viên .",0,1,môn học chưa thực tiễn chưa thu hút sinh viên .,môn_học chưa thực_tiễn chưa thu_hút sinh_viên .,12,11,7
dạy hơi nhanh !,0,0,dạy hơi nhanh,dạy hơi nhanh,4,3,3
ít làm bài tập .,0,1,ít làm bài tập .,ít làm bài_tập .,5,5,4
"giảng bài kém thu hút , vị trí đứng giảng không hợp lý , ôn tập cuối kỳ còn chưa tập trung vào vấn đề .",0,0,giảng bài kém thu hút vị trí đứng giảng không hợp lý ôn tập cuối kỳ còn chưa tập trung vào vấn đề .,giảng bài kém thu_hút vị_trí đứng giảng không hợp_lý ôn_tập cuối kỳ còn chưa tập_trung vào vấn_đề .,26,24,18
"giảng viên nhiệt tình , bài giảng thu hút .",2,0,giảng viên nhiệt tình bài giảng thu hút .,giảng_viên nhiệt_tình bài giảng thu_hút .,10,9,6
"nhờ thầy và giảng viên lý thuyết , em đã hiểu rõ về môn này rất nhiều !",2,0,nhờ thầy và giảng viên lý thuyết em đã hiểu rõ về môn này rất nhiều,nhờ thầy và giảng_viên lý_thuyết em đã hiểu rõ về môn này rất nhiều,18,16,14
môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu .,0,1,môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu .,môn này khá trừu_tượng nên mong thầy có nhiều liên_tưởng tới thực_tiễn hơn để chúng_em có_thể hiểu .,23,23,18
cần thêm nhiều tài liệu cho sinh viên .,0,1,cần thêm nhiều tài liệu cho sinh viên .,cần thêm nhiều tài_liệu cho sinh_viên .,9,9,7
bài tập trên lớp .,1,1,bài tập trên lớp .,bài_tập trên lớp .,5,5,4
tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học .,0,1,tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học .,tăng số tiết dạy lên để sinh_viên có nhiều cơ_hội hỏi_đáp thắc_mắc về môn_học .,20,20,15
thầy nhiệt tình dễ hiểu .,2,0,thầy nhiệt tình dễ hiểu .,thầy nhiệt_tình dễ hiểu .,6,6,5
thực hành và lý thuyết nên dạy song song .,0,1,thực hành và lý thuyết nên dạy song song .,thực_hành và lý_thuyết nên dạy song_song .,10,10,7
giảng viên dạy nhanh .,0,0,giảng viên dạy nhanh .,giảng_viên dạy nhanh .,5,5,4
